Claim Type,Sentence
Claim of Interests/Values,"Unser Ziel ist es, den Ressourcenverbrauch drastisch zu senken sowie Emissionen und Abfallströme deutlich zu vermindern."
Claim of Interests/Values,Wir setzen uns ein für Frieden
Claim of Interests/Values,"Unser Ziel ist ein ökonomisch effizientes, sozial angemessenes und ökologisch verträgliches Mobilitätsangebot."
Claim of Interests/Values,"Unser Ziel ist ein emissionsfreies Kraftwerk, in dem CO2 wirksam abgeschieden und gespeichert werden kann."
Claim of Interests/Values,"Wir stehen für den offenen Zugang zu den Hochschulen, unabhängig von den sozialen oder finanziellen Voraussetzungen der Jugendlichen."
Claim of Interests/Values,"Unser Ziel ist, dass alle Menschen auch in hohem Alter Anerkennung finden, aktiver Teil unserer Gesellschaft sind und in materieller Sicherheit leben können."
Claim of Interests/Values,"Unser Ziel ist, das faktische Renteneintrittsalter an das gesetzliche Eintrittsalter von 65 Jahren heranzuführen."
Claim of Interests/Values,"Unser Ziel ist richtig –Soziale Demokratie: Arbeit, Sicherheit, Menschlichkeit."
Claim of Interests/Values,Wir stehen für die Freiheit der Forschung im Dienst des Menschen.
Claim of Interests/Values,"Wir stehen für eine Umweltpolitik, in deren Mittelpunkt der Mensch steht."
Claim of Interests/Values,Wir stehen für die Rückkehr zu einer vertrauensvollen transatlantischen Zusammenarbeit.
Claim of Interests/Values,Unser Ziel ist nicht die bessere Verteilung des Mangels.
Claim of Interests/Values,"Unser Ziel ist die Rückkehr zu mehr Beschäftigung, Wachstum und Sicherheit."
Claim of Interests/Values,"Unser Ziel ist es, Anreize für den Aufbau neuer Breitband-Netze zu setzen, in dem wir dafür sorgen, dass Investitionen in diesem Bereich nicht durch staatliche Regulierung behindert werden."
Claim of Interests/Values,"Unser Ziel ist ein Unternehmensteuerrecht, das im internationalen Wettbewerb attraktiv ist."
Claim of Interests/Values,Wir stehen für die Stärkung der UN
Claim of Interests/Values,"Wir stehen für eine aktive Gestaltung der Arbeitsmigration, weil unsere Wirtschaft sie braucht."
Claim of Interests/Values,Wir stehen für eine solidarische Antwort auf die Weltwirtschaftskrise.
Claim of Interests/Values,"Unser Ziel ist es, große Erbschaften stärker als bisher zur Finanzierung öffentlicher Aufgaben heranzuziehen."
Claim of Interests/Values,Unser Ziel ist darüber hinaus eine sozial gerechte Reform der Einkommenssteuer.
Claim of Interests/Values,"Unser Ziel ist eine Grundsicherung, die ohne Sanktionen auskommt und die auf Motivation, Hilfe und Anerkennung statt auf Bestrafung setzt."
Claim of Interests/Values,"Unser Ziel ist es, die gesundheitliche Versorgung weiter zu verbessern"
Claim of Interests/Values,"Unser Ziel ist, vor allem mehr junge Menschen aus einkommensarmen Elternhäusern für ein Studium zu gewinnen."
Claim of Interests/Values,"Unser Ziel ist eine integrierte ländliche Entwicklung, die gleichwertige Lebensverhältnisse und eine gute ökonomische, soziale und kulturelle Teilhabe auf dem Land genauso ermöglicht wie in der Stadt."
Claim of Interests/Values,"Unser Ziel ist, die Chemie- und Kunststoffindustrie perspektivisch unabhängig vom Erdöl zu machen."
Claim of Interests/Values,"Wir stehen für eine Flüchtlingspolitik, die auf der Genfer Flüchtlingskonvention und der Europäischen Menschenrechtskonvention beruht."
Claim of Interests/Values,Wir stehen für eine Politik der Vielfalt und für klare Kante gegen Diskriminierung.
Claim of Interests/Values,"Unser Ziel ist es, den Osten als Bildungsstandort zu etablieren, doch dafür bedarf es verstärkter Investitionen und verbesserter Rahmenbedingungen, um Menschen zu ermutigen, hier ihre Chancen zu ergreifen."
Claim of Interests/Values,"Unser Ziel ist, Ostdeutschlands Energieversorgung mittelfristig 100-prozentig erneuerbar zu entwickeln."
Claim of Interests/Values,Wir setzen uns ein für die Öffnung der kulturellen Einrichtungen
Claim of Interests/Values,Wir stehen für eine aktivierende Klimapartnerschaft.
Claim of Interests/Values,Unser Ziel ist die Entnuklearisierung der NATO-Strategie.
Claim of Interests/Values,"Unser Ziel ist, dass Frauen selbstbestimmt ihr Leben gestalten können."
Claim of Interests/Values,"Wir stehen für eine konjunkturgerechte Schuldenregel, die das Defizit von Bund und Ländern begrenzt."
Claim of Interests/Values,"Unser Ziel ist, die Treibhausgas- emissionen in Deutschland bis zum Jahr 2020 gegenüber 1990 um mindestens 40 Prozent zu senken."
Claim of Interests/Values,Unser Ziel ist Gute Arbeit.
Claim of Interests/Values,"Unser Ziel ist ein allgemeiner gesetzlicher Mindestlohn, der eine unterste Grenze markiert, unter die Löhne nicht fallen dürfen."
Claim of Interests/Values,"Unser Ziel ist, dass alle Jugendlichen einen Berufsabschluss oder Abitur haben."
Claim of Interests/Values,"Unser Ziel ist ein sozial gerechtes, leistungsstarkes und durchlässiges Schulsystem, das kein Kind und keinen Jugendlichen zurücklässt."
Claim of Interests/Values,"Unser Ziel ist es, das Angebot an Ganztagsschulen flächendeckend auszubauen."
Claim of Interests/Values,Wir stehen für ein gebührenfreies Erststudium bis einschließlich zum Master.
Claim of Interests/Values,"Wir stehen für starke, offene und demokratische Hochschulen."
Claim of Interests/Values,"Unser Ziel ist und bleibt, dass alle Menschen am medizinischen Fortschritt teilhaben können."
Claim of Interests/Values,Wir stehen für eine gebührenfreie Bildung von der Kita bis zur Hochschule.
Claim of Interests/Values,"Unser Ziel ist eine Gesellschaft, in der man ohne Angst verschieden sein kann, in der alle frei und gleichwertig sind, mit gleichen Chancen und Möglichkeiten."
Claim of Interests/Values,Wir stehen für eine kooperative Energie- und Ressourcenpolitik.
Claim of Interests/Values,Unser Ziel ist die umfassende Teilhabe dieser Länder an einem Europa des Friedens und des Wohlstands.
Claim of Interests/Values,"Wir stehen für eine Gesellschaftspolitik, die der Freiheit verpflichtet ist."
Claim of Interests/Values,"Wir stehen für Innen- und Rechtspolitik, die sich an den Grundrechten orientiert."
Claim of Interests/Values,Wir stehen für die Soziale Marktwirtschaft.
Claim of Interests/Values,Wir stehen für Bürgerrechte.
Claim of Interests/Values,Wir stehen für Bildung als Bürgerrecht.
Claim of Interests/Values,Wir stehen für eine ausgewogene Berücksichtigung von Frauen in Führungsfunktionen.
Claim of Interests/Values,"Unser Ziel ist es, dass die Menschen mehr Netto vom Brutto erhalten."
Claim of Interests/Values,"Unser Ziel ist der Abbau aller nationalen Statistik- und Berichtspflichten, netto um 25 Prozent bis 2011."
Claim of Interests/Values,"Wir stehen für eine effektive und effiziente Arbeitsmarktpolitik, die Arbeitslose dabei unterstützt, rasch wieder eine Stelle zu finden."
Claim of Interests/Values,"Unser Ziel ist es, die Finanzierbarkeit der gesundheitlichen Versorgung zu sichern"
Claim of Interests/Values,"Unser Ziel ist es, diese Inhalte für Fachkräfte in der Kinderbetreuung gemeinsam mit Ländern und Kommunen praktisch und alltagstauglich zu machen."
Claim of Interests/Values,"Unser Ziel ist es, Schwangerschaftsabbrüche aus finanzieller Bedrängnis zu vermeiden"
Claim of Interests/Values,"Unser Ziel ist, die Zahl der Schulabbrecher bis 2012 zu halbieren"
Claim of Interests/Values,"Unser Ziel ist, Urlaub in Deutschland noch attraktiver zu machen."
Claim of Interests/Values,Unser Ziel ist die Verbesserung von Qualität und Effizienz der Daseinsvorsorge für alle Bürger.
Claim of Interests/Values,"Unser Ziel ist es, dazu beizutragen, die durchschnittliche Erwärmung der Erdatmosphäre auf maximal zwei Grad Celsius im Vergleich zur vorindustriellen Ausgangssituation zu begrenzen."
Claim of Interests/Values,Wir stehen für eine Harmonisierung der Umweltstandards in Europa.
Claim of Interests/Values,Unser Ziel ist dabei eine ökologisch und ökonomisch effizientere
Claim of Interests/Values,Unser Ziel ist eine verbindliche nationale Herkunftskennzeichnung in Abgrenzung vom Verarbeitungsort.
Claim of Interests/Values,"Unser Ziel ist es daher, als Bund unseren Beitrag für einen zeitgemäßen Technologiestandard für ganz Deutschland zu leisten."
Claim of Interests/Values,Wir stehen für eine konsequente Verfolgung und Ahndung extremistischer Straftaten.
Claim of Interests/Values,"Unser Ziel ist und bleibt eine Zweistaaten-Lösung mit einem Israel in dauerhaft sicheren Grenzen und einem lebensfähigen palästinensischen Staat, die in friedlicher Nachbarschaft leben."
Claim of Interests/Values,"Wir stehen für den Weg aus der Krise, weil gemeinsames europäisches Handeln international erfolgreicher ist."
Claim of Interests/Values,Wir stehen für kluge nationale und europäische Interessenwahrnehmung.
Claim of Interests/Values,"Und wir stehen für eine gefestigte EU, denn Europa muss Grenzen haben."
Claim of Interests/Values,"Wir stehen für eine starke, handlungsfähige Außen- und Sicherheitspolitik der EU, um unsere Interessen in der Welt des 21."
Claim of Interests/Values,Wir stehen für ein Europa der Haushaltsdisziplin
Claim of Interests/Values,"Wir stehen für eine Politik, die global denkt und handelt."
Claim of Interests/Values,"Unser Ziel ist es, Menschenrechte umzusetzen,"
Claim of Interests/Values,"Gleich ob Schule oder Arbeitsmarkt, Stadtviertel oder Kultureinrichtung, Gesundheit oder Pflege: Unser Ziel ist eine durchlässige Gesellschaft, die Blockaden abbaut, in der Anstrengung belohnt wird und niemand durch verschlossene Türen und gläserne Decken ausgebremst und ausgeschlossen wird."
Claim of Interests/Values,"Wir stehen für eine Politik, die auf Klimagerechtigkeit abzielt."
Claim of Interests/Values,"Unser Ziel ist es, dass die Europäische Union ihr Klimaschutzziel auf 30 % Emissionsreduktion (ohne Anrechnung von Auslandsprojekten) bis 2020 erhöht."
Claim of Interests/Values,"Unser Ziel ist es, flächendeckend Ganztagsschulen aufzubauen, die barrierefrei sind und in denen alle Kinder auch am Nachmittag miteinander und voneinander lernen, Wissen vertiefen, ihre Kreativität entfalten und überhaupt Neues entdecken können."
Claim of Interests/Values,Unser Ziel ist eine Ermöglichungsverfassung für bessere Bildung und Wissenschaft.
Claim of Interests/Values,"Unser Ziel ist eine Grundsicherung, die auf Motivation, Hilfe und Anerkennung statt auf Bestrafung setzt."
Claim of Interests/Values,Wir stehen für eine emanzipatorische Jugendpolitik.
Claim of Interests/Values,"Unser Ziel ist eine Gesellschaft, in der kein Kind in Armut lebt und in der jedes Kind gleich viel wert ist."
Claim of Interests/Values,Wir setzen uns ein für vorsorgeorientierte und kindgerechte Grenzwerte.
Claim of Interests/Values,"Unser Ziel ist eine nachhaltige Mobilität, die umwelt- und klimaverträglich, sozial und wirtschaftlich effizient ist."
Claim of Interests/Values,"Unser Ziel ist die Teilhabe aller an Mobilität, gleich ob in der Stadt oder auf dem Land – und zu bezahlbaren Preisen."
Claim of Interests/Values,"Unser Ziel ist es, bis 2020 die Treibhausgasemissionen des Verkehrs um 20 % zu senken."
Claim of Interests/Values,"Unser Ziel ist es, die Lebensmittelverschwendung bis 2020 zu halbieren."
Claim of Interests/Values,"Unser Ziel ist es, bis zum Ende der Legislaturperiode flächendeckend Breitbandanschlüsse im zweistelligen Mbit/s-Bereich bereitzustellen."
Claim of Interests/Values,Unser Ziel ist die flächendeckende Versorgung mit Breitbandanschlüssen im zweistelligen Mbit/s-Bereich bis Ende der Legislaturperiode.
Claim of Interests/Values,Wir stehen für die demokratische Teilhabe aller.
Claim of Interests/Values,"Unser Ziel ist Geschlechterdemokratie, die ein gerechtes Verhältnis von Frauen und Männern beinhaltet."
Claim of Interests/Values,Unser Ziel ist der möglichst weitgehende Schutz von Prostituierten.
Claim of Interests/Values,"Unser Ziel ist, dass jede und jeder die Möglichkeit hat, das, was er oder sie zum Leben braucht, selbst zu erwirtschaften."
Claim of Interests/Values,"Wir stehen für faire Arbeitsbedingungen,"
Claim of Interests/Values,Wir stehen für die Förderung von Kunst- und Kulturschaffenden durch den Erhalt und die Schaffung kulturfreundlicher Rahmenbedingungen.
Claim of Interests/Values,"Unser Ziel ist es, dass noch mehr Menschen in die kulturellen Räume, in die Theater, Konzertsäle, Kinos, Museen, Clubs und Bibliotheken kommen."
Claim of Interests/Values,Wir stehen für einen fairen Umgang mit den Städten und Gemeinden.
Claim of Interests/Values,"Wir stehen für eine solidarische Politik, die geschwächte Strukturen stärkt und zurückgebliebene Regionen dabei unterstützt, sich neu aufzustellen."
Claim of Interests/Values,"Wir stehen für eine andere – eine faire – europäische Steuerpolitik, die den Steuerwettlauf innerhalb Europas eindämmt und Steuervermeidung, Steuerhinterziehung und Steuerdumping verhindert."
Claim of Interests/Values,Wir stehen für den Frieden ein.
Claim of Interests/Values,"-  Wir stehen für ein friedliches, weltoffenes  und solidarisches Europa,"
Claim of Interests/Values,"Wir stehen für einen sofortigen, bedingungslosen Abzug der Bundeswehr aus den Auslandseinsätzen"
Claim of Interests/Values,"- Wir stehen für ein neues Modell einer leistungsfähigen, demokratischen, öffentlichen Daseinsvorsorge und Infrastruktur."
Claim of Interests/Values,Wir setzen uns ein für ihre Streichung aus dem Grundgesetz und aus allen Landesverfassungen.
Claim of Interests/Values,- Wir stehen für eine aktive Anti-Diskriminierungspolitik.
Claim of Interests/Values,"Unser Ziel ist, eine nachhaltige Demokratisierung der Demokratie, von Staat, Gesellschaft und Wirtschaft zu befördern."
Claim of Interests/Values,Unser Ziel ist Recht und Ordnung auf dem Arbeitsmarkt.
Claim of Interests/Values,Wir stehen für eine integrierte Industriepolitik als Querschnittspolitik zur Schaffung industriefreundlicher Rahmenbedingungen.
Claim of Interests/Values,"Unser Ziel ist eine integrierte Dienstleistungspolitik, die durch die Verzahnung von Wirtschafts- und Strukturpolitik"
Claim of Interests/Values,"Unser Ziel ist es, die Erwerbsbeteiligung zu erhöhen."
Claim of Interests/Values,Unser Ziel ist die gebührenfreie Bildung von der Kita bis zur Hochschule.
Claim of Interests/Values,"Unser Ziel ist es, ein leistungsfähiges und sozial gerechtes Bildungssystem zu schaffen, in dem individuelle Förderung gelebt wird."
Claim of Interests/Values,"Unser Ziel ist es, gleiche Bildungschancen und ein Recht auf Teilhabe für alle Kinder und Jugendlichen zu schaffen."
Claim of Interests/Values,"Unser Ziel ist es, dass die kulturelle, weltanschauliche und religiöse Vielfalt innerhalb unserer rechtsstaatlichen und sozialstaatlichen Grundordnung in Politik und Verwaltung, Wirtschaft, Kunst und Kultur selbstverständlich mitgedacht wird."
Claim of Interests/Values,Unser Ziel ist die Stärkung von Orten der gesellschaftlichen Begegnung und des Gesprächs sowohl unabhängig von Kunstmarkt und Kulturindustrie als auch in Kooperation mit ihnen.
Claim of Interests/Values,"Unser Ziel ist es, einen fairen und gerechten Ausgleich der Interessen von Urhebern, Verwertern und Nutzern sicherzustellen, der die kulturellen und ökonomischen Rahmenbedingungen der Kultur- und Kreativwirtschaft gewährleistet."
Claim of Interests/Values,Wir stehen für einen solidarischen Bundesstaat.
Claim of Interests/Values,"Unser Ziel ist, dass sie die Sicherheit haben, gesund und ohne materielle Not in Würde alt werden zu können."
Claim of Interests/Values,"Unser Ziel ist es, mehr und gleiche Gesundheitschancen für alle Bürgerinnen und Bürger zu schaffen."
Claim of Interests/Values,"Unser Ziel ist, für alle einen gleich guten Zugang zu medizinischer Versorgung zu schaffen und Privilegierungen im Gesundheitssystem abzubauen, also die Zwei-Klassen-Versorgung beenden."
Claim of Interests/Values,"Unser Ziel ist, die Rechte der Patientinnen und Patienten"
Claim of Interests/Values,"Unser Ziel ist es, dass Schwerkranke noch schneller zu den Spezialistinnen und Spezialisten kommen, die ihnen die beste Behandlung bieten können."
Claim of Interests/Values,"Unser Ziel ist es, die bedarfsgerechte umfassende Versorgung der Altershaushalte aufzubauen."
Claim of Interests/Values,Unser Ziel ist zukunftsgerechter und zugleich bezahlbarer Wohnraum
Claim of Interests/Values,Unser Ziel ist zukunfts- und altersgerechter und zugleich bezahlbarer Wohnraum.
Claim of Interests/Values,"Unser Ziel ist es, Regionalbudgets zu schaffen – für einen gebündelten und zielgerichteten Fördermitteleinsatz im Rahmen regional angepasster integrierter Entwicklungsstrategien."
Claim of Interests/Values,Unser Ziel ist eine nachhaltige Entwicklung.
Claim of Interests/Values,Unser Ziel ist die Stärkung der öffentlichen Daseinsvorsorge.
Claim of Interests/Values,Unser Ziel ist die Fortentwicklung der Europäischen Union zu einer handlungsfähigen Friedensmacht.
Claim of Interests/Values,"Unser Ziel ist eine kooperative, gerechte Weltordnung."
Claim of Interests/Values,Wir stehen für eine Stärkung des Systems der Vereinten Nationen.
Claim of Interests/Values,"Wir setzen uns ein für erweiterte Transparenzanforderungen für transnationale Unternehmen, insbesondere im Rohstoffsektor, durch länder- und projektbezogene Berichtpflichten."
Claim of Interests/Values,"-   Wir stehen für solide, stabile Haushalte und die Tilgung unserer Altschulden."
Claim of Interests/Values,o Wir stehen für eine Stabilitätsunion mit soliden Haushalten und Finanzen.
Claim of Interests/Values,"-   Unser Ziel ist es, die Staatsquote weiter zu senken."
Claim of Interests/Values,"-    Unser Ziel ist es, zwischen Bundes-und Landessteuern stärker zu trennen."
Claim of Interests/Values,"-   Unser Ziel ist es, im Sinne von „Privat vor Staat“ die Staatsquote weiter zu senken."
Claim of Interests/Values,Wir setzen uns ein für mehr Wettbewerbsfähigkeit
Claim of Interests/Values,"-   Unser Ziel ist es, dass die Erneuerbaren Energien spätestens im Markt sind, wenn das letzte Kernkraftwerk in Deutschland abgeschaltet ist."
Claim of Interests/Values,"Wir stehen für eine moderne, unternehmerische und nachhaltige Landwirtschaft."
Claim of Interests/Values,Wir stehen für die Vielfalt im ländlichen Raum und wir stehen für die Chancen auf Zukunft und Perspektive für alle Menschen.
Claim of Interests/Values,-   Wir stehen für eine an der Praxis orientierte Agrarforschung und einen verbesserten Wissenstransfer.
Claim of Interests/Values,"-   Wir setzen uns ein für eine Flexibilisierung der Personalstrukturen an Universitäten und einen flächendeckenden Wissenschaftstarifvertrag, der es ermöglicht, Fachkräfte in Forschung und Lehre ihren Aufgaben angemessen zu beschäftigen und attraktivere Bedingungen für den Mittelbau und den hoch qualifizierten wissenschaftlichen Nachwuchs zu schaffen."
Claim of Interests/Values,"-   Wir stehen für ein freiheitliches Gesundheitssystem, das Solidarität und Eigenverantwortung verbindet."
Claim of Interests/Values,"-    Wir setzen uns ein für die vermehrte Einrichtung von Lehrstühlen für islamische Theologie an deutschen Hochschulen, für die Ausbildung von deutschsprachigen Imamen und muslimischen Religionslehrern."
Claim of Interests/Values,-   Der Kurs zur Entbürokratisierung im Bereich Schifffahrt ist richtig – unser Ziel ist zunächst eine nationale Küstenwache und eine einheitliche Flaggenstaatsverwaltung.
Claim of Interests/Values,o Wir stehen für eine ergebnisoffene Suche eines Endlagers für hochradioaktive Abfälle.
Claim of Interests/Values,-   Wir stehen für eine Stabilitätsunion mit soliden Haushalten und Finanzen.
Claim of Interests/Values,"-   Wir setzen uns ein für die vertiefte Integration in der Sicherheits-und Verteidigungspolitik der Europäischen Union (GSVP), indem wir den Vertrag von Lissabon mit Leben füllen und mit unseren europäischen Partnern in Ständige Strukturierte Zusammenarbeiten (SSZ) eintreten."
Claim of Interests/Values,-   Wir setzen uns ein für eine verfassungskonforme Ratifizierung der UN-Konvention gegen Korruption.
Claim of Interests/Values,"-   Unser Ziel ist die Stärkung der nuklearen, radiologischen, chemischen und biologischen sowie konventionellen Kontroll-und Nichtverbreitungsregime."
Claim of Interests/Values,"Wir stehen für Rahmenbedingungen, die es unseren Sicherheitskräften ermöglichen, diese Gefahr weiterhin bestmöglich zu bekämpfen."
Claim of Interests/Values,Wir stehen für einen starken Euro und stabile Preise.
Claim of Interests/Values,"Unser Ziel ist, dass sie in den EU-Behörden und -Verwaltungen mit dem Englischen und Französischen gleich behandelt wird."
Claim of Interests/Values,"Wir stehen für eine Politik, die jedem in unserem Land Chancen auf Aufstieg und eine gute Zukunft eröffnet."
Claim of Interests/Values,"Unser Ziel ist es daher, dass auch künftig jeder ausbildungswillige und –fähige Jugendliche ein Ausbildungsangebot erhält, das zu einem anerkannten Abschluss führt."
Claim of Interests/Values,"Unser Ziel ist es, überall die Voraussetzungen für eine gute Versorgung der Bevölkerung zu schaffen."
Claim of Interests/Values,Unser Ziel ist es die besten Ideen zu finden und umzusetzen.
Claim of Interests/Values,"Unser Ziel ist, dass Deutschland ein wettbewerbsfähiges Industrieland bleibt."
Claim of Interests/Values,"Wir stehen für eine ergebnisoffene, allein an objektiven Eignungskriterien ausgerichtete Suche für einen Endlagerstandort."
Claim of Interests/Values,"Wir stehen für einen verlässlichen Staat, der für leistungsfähige Straßen, Schienen, Wasserwege und wettbewerbsfähige Flughäfen"
Claim of Interests/Values,"Unser Ziel ist dabei, dass die betriebliche Vorsorge auch für kleine und mittlere Unternehmen und deren Mitarbeiter attraktiv ist."
Claim of Interests/Values,"Wir stehen für ein leistungsfähiges Gesundheitswesen, das Menschlichkeit, Qualität und Bezahlbarkeit zusammenführt und zu einer hohen Lebensqualität in Deutschland beiträgt."
Claim of Interests/Values,"Unser Ziel ist es, ein hohes Niveau der Pflegeleistungen sicherzustellen."
Claim of Interests/Values,"Unser Ziel ist die CO2 neutrale, energie-und klimaangepasste Stadt."
Claim of Interests/Values,"Unser Ziel ist es, dass die Menschen möglichst lange in ihrer häuslichen Umgebung leben können."
Claim of Interests/Values,"Unser Ziel ist es, Umwelt und Landwirtschaft noch enger miteinander zu verzahnen."
Claim of Interests/Values,"Unser Ziel ist es, die große Nachfrage nach Bioprodukten mit heimischen Erzeugnissen zu befriedigen."
Claim of Interests/Values,"Unser Ziel ist es, das Recht auf Löschen der eigenen Daten,"
Claim of Interests/Values,Unser Ziel ist die Bereicherung der Medien-und Meinungsvielfalt in Deutschland zum Nutzen der Mediennutzer und der Mediensparte.
Claim of Interests/Values,"Unser Ziel ist es daher, die Deutsche Welle zu stärken."
Claim of Interests/Values,Unser Ziel ist auch hier eine konsequente Strafverfolgung.
Claim of Interests/Values,"Unser Ziel ist eine Zweistaaten-Lösung mit einem Israel in dauerhaft sicheren Grenzen und einem lebensfähigen palästinensischen Staat, die in friedlicher Nachbarschaft leben."
Claim of Interests/Values,"Unser Ziel ist es, die Fähigkeiten unserer Bundeswehr den sich verändernden sicherheitspolitischen Rahmenbedingungen anzupassen und ihre Finanzierung nachhaltig zu gestalten."
Claim of Interests/Values,"Wir stehen für eine solidarische, lebenswerte Gesellschaft – und betreiben einen kraftvollen Wahlkampf, um diese Ziele dann auch in der Bundespolitik umsetzen zu können."
Claim of Interests/Values,"Wir stehen für die Rekommunalisierung der Wasserversorgung ein, da sie als Infrastruktur der Grundversorgung dient."
Claim of Interests/Values,"Unser Ziel ist es, den berechtigten Interessen der Verbraucher als Konsument von Waren und Nutzer von Dienstleistungen sowie in Bezug auf Datenschutz, Urheberrecht und Transparenz mehr Geltung zu verschaffen."
Claim of Interests/Values,"Wir setzen uns ein für diskriminierungsfreie Prüfinhalte, die interkulturelle Kompetenz und Mehrsprachigkeit wertschätzen."
Claim of Interests/Values,"Unser Ziel ist es, durch solche Maßnahmen die Kriminalitätsrate insgesamt zu senken."
Claim of Interests/Values,•   Wir stehen für den Schutz der Familie als Keimzelle der Gesellschaft.
Claim of Interests/Values,"Wir setzen uns ein für den Frieden statt Rüstungsspiralen,"
Claim of Interests/Values,"Unser Ziel ist es, eine lebenswerte Welt auch für unsere Kinder und die kommenden Generationen zu erhalten."
Claim of Interests/Values,"Unser Ziel ist eine vielfältige Landwirtschaft, die ohne Gift, Gentechnik und Tierleid gesundes Essen für alle erzeugt."
